memory fog	386807006
aching (like the flu)	82991003
lost a lot of muscle and replacedit with fat	88092000
elevated liver enzymes	166643006
bathroom with the runs	62315008
blood clots in urine	34436003
burning feet in toe area	36031001
neurophathy	386033004
drained and tired	224960004
could not walk for three weeks	282145008
back pain in the am	102556003
severe myalgia	68962001
depressed	35489007
legs started tingling	429783005
serious pain	76948002
mild cramping	55300003
rash on upper left torso	271807003
fuzzy vision	246636008
feel like i am in a fog	419723007
muscle twitching in both arms	60238002
tingling in side of face	62507009
numbness legs	309537005
foggy mental state	419723007
muscle pain in left arm	288228002
muscle aches in my lower back	279039007
painful muscles	68962001
gastro effects	162076009
extreme gas	162076009
joint pain (knees)	30989003
gas/wind	162076009
difficult to walk	228158008
artritic	3723001
chronic muscle pain	68962001
neurophaty	386033004
extreme itching on legs and arms	418290006
brain feel kind of foggy	419723007
cramping in both calves	250084002
intense pain	76948002
difficult to keep balance	387603000
not concentrating well	60032008
knotting muscles	55300003
lost all the strength in my muscles	26544005
abdominal gas	162076009
severe pain close to my the crotch area	76948002
muscles very tight	250069006
calf cramps	250084002
elevated blood sugar	166892002
pruritus	418363000
tingling in the hands	62507009
legs are very weak	80449002
less muscle mass	88092000
muscle achs	68962001
no sleep	248255005
increase my heart rate	3424008
severe stomach pain	21522001
hideously increased muscle tension	250069006
muscle problems legs	129565002
loss of muscle structure in the calf muscles	88092000
pain in their toes	285365001
blurred thinking	247640008
coronary problems	56265001
muscles pain	68962001
urine full of blood	34436003
sporadic lower abdominal cramping	51197009
hip pain	49218002
difficulty swallowing	288939007
increased memory loss	386807006
numbing of my feet	309538000
elevated cpk levels	166717003
muscle pains	68962001
aching pain across my shoulders	45326000
cramps in legs	449917004
lack of ability to concentrate	60032008
difficulties to swallow	288939007
debilitated	13791008
memory weakened	386807006
muscle pains in my hips	288230000
short-term memory disappeared	247592009
gastrointestinal cramping	162076009
loss of endurance	248277009
inablity to walk	282145008
legs are killing me	10601006
lead legs	161873000
feel like an airhead	419723007
pain in the lower part of my knees	22253000
diarrea	62315008
chronic elbow pain in both arms	74323005
back discomfort	161891005
stomache aches	271681002
pain in my shoulders	45326000
deppression	35489007
muscle twitches	60238002
ankle hurt	247373008
heavy menstrual bleeding	386692008
cramping in toes	102551008
muscle aches in my legs	288231001
kneejoin paint	30989003
overall weak feeling	13791008
feeling of being in a fog	419723007
joint pain	57676002
afterpain	22253000
lower leg pain	300954003
severe plantar faciitis	202882003
loss of sex drive	8357008
burning of shoulders	90673000
painful shoulder	45326000
head hurt	25064002
muscle cramps in legs	449917004
cramping in calves	250084002
muscle weakness in my right hand causing me to lose grip and drop things	309774006
hands are tingling	309086004
cramps in left leg	449917004
moody	286641001
pain trying to walk	426899007
losing the feeling in his right hand	309086004
difficulty picking my feet up	228158008
couldn't sleep	248255005
pain in major joints	57676002
short term memory dysfunction	247592009
lipitor (atorvastatin)	3877011000036101
leg muscle inflamed	288231001
severe leg cramps	449917004
always tired	267032009
severe abdominal cramping	51197009
feel dreadful	367391008
aches and stiffness knees	249913002
muscles cramp	55300003
bleeding problems	131148009
severe mood swings	18963009
bluss and ititching of the face	418363000
loss of energy	248274002
finger stiffness	271587009
muscle loss	88092000
parkinson's	49049000
balance is off at times	387603000
muscle pain calf area	288231001
back pain upper	279038004
pain in the back	161891005
mental malaise	419723007
tinnitus (left ear)	60862001
flu like synptoms	95891005
pain in hand	53057004
hair thinning	278040002
stiffness	271587009
i feel like i've been run over by a truck	102480002
pain in shoulder	45326000
shoulder pain	45326000
debillitating leg pain	10601006
thigh pain	78514002
muscle aches	68962001
ball of the foot would feel as if it was inflamed	36031001
major menstrual cramps	431416001
heart attach	22298006
ibruprofen	21885011000036105
ears ringing	162352007
extreme weakness	13791008
like im in a fog all the time	419723007
abdominal pain	21522001
arm aching	102556003
constant pain	426206001
pain in my left hip	49218002
skin rash	271807003
muscle weakness	26544005
blood pressure slightly elevated	24184005
achy joints	57676002
acid reflux	698065002
losing muscular	88092000
stomach discomfort	271681002
energy loss	248274002
loss of muscle mass in hands	88092000
headace	25064002
feet hurt	47933007
legs began feeling very tired	80449002
fatigue in forearms	80449002
increased blood glucose	166892002
deeper muscle twitches on butt	60238002
moving in bed is painful	425423002
painfull	22253000
back aches	161891005
plantar fasciatis	202882003
could not stop shaking	26079004
weakness in leg muscles	309774006
tinninitus	60862001
charley horses	54981004
muscle dmaage	129565002
muscle pain in the lower back	279039007
movement restriction	70733008
feeling weak	13791008
exhausting	60119000
foggy thinking	419723007
calf muscle cramping	250084002
cortisone shots	21779011000036103
cramps in chest	55300003
coq 10	77424011000036100
severe pain	76948002
mild aches	82991003
joint pain in my knees	30989003
back soreness	161891005
excrutiating pain	67849003
abdominal cramps	9991008
lost some memory	386807006
cramping in my lower legs	449918009
cpk mildly elevated	166717003
liptitor	3877011000036101
heavy legs	161873000
charlie horse in feet	54981004
hands numb	309521004
pain in legs	10601006
ringing in my left ear increased	162352007
ached all over, especially in legs	82991003
cholesterol is high	166830008
muscle pain in neck	81680005
muscle pain in the calves	288231001
joint ache	57676002
pain really bad	76948002
in both legs pain	10601006
emotional changes	18963009
calf pains	300954003
pain behind the knee	30989003
general depression	162076009
fatiqued	84229001
type ii diabetic	44054006
general degradation	162076009
leg muscles painful to light pressure	425423002
itches	418290006
charley horse in my side	54981004
nagging muscle pain between and just below my shoulder blades	288226003
legs just ached	10601006
vision problems - seeing two or three of everything	63102001
pain in shoulders	45326000
headaches	25064002
tingling in toes and feet	62507009
cannot walk	282145008
muscle pain in feet	47933007
fatigue in arms	80449002
leg muscle discomfort	68962001
chest ache	29857009
pain in neck	81680005
pain from the headache	25064002
uterus contractions	29542008
weight increase	262286000
server pain	76948002
cramps in my feet	102551008
burning sensation	90673000
extreme nausea	422587007
hair falling out	278040002
stiffness at left knee	249913002
general feeling of malais	162076009
vomit	422400008
period cramps	431416001
vertigo	399153001
heart attackes	22298006
room spinning	399153001
heart attacks	22298006
elbows sore	74323005
vitamin c	77435011000036104
arm pain	102556003
pain when i sit down or stand from a sitting position	425423002
heart attack	22298006
irratibility	55929007
difficulty in swallowing	288939007
peripheral neuropathy in feet and legs	302226006
increased bp	24184005
simvistatin	21242011000036102
damaged my liver	235856003
general fatigue	162076009
blood pressure elevated	24184005
muscle cramps in ribs	203095000
lost some body balance	387603000
provacal	3848011000036104
declining physical ability	13791008
felt flu-like	95891005
lack of concentration	60032008
no strength	26544005
leg cramping	449917004
muscle aching	68962001
hair loss	278040002
lipitor's	3877011000036101
feet is painful	47933007
type 11 diabetic	44054006
cholesterol level sky high	166830008
feel achy	47933007
legs twitching	60238002
increase in sleep requirement	77692006
knees hurt	30989003
memory trouble	386807006
muscle fatigue	68962001
could not walk	228158008
elevated cpk	166717003
inflammation of my joints	3723001
aches	22253000
feet pains	47933007
type ii diabetes	44054006
cannot sleep	301345002
short term memory problems	247592009
muscles in my left leg locked up	449917004
excessive gas	162076009
forget things all the time	55533009
cant sleep	193462001
muscle pain	68962001
metal moods	286641001
dull headaches	25064002
decreased libdo	8357008
numbness in left toe	309539008
intense dizziness	404640003
pain and stiffness	22253000
lipitor(atorvastatin)	3877011000036101
severe stomach upset	162059005
blood in bowel movements	405729008
migraine	37796009
numbness hands	309521004
tinnitus	60862001
slightly blurred vision	246636008
muscle pain in back	161891005
flatulance	267052005
nausia	422587007
fingertips scaly	16386004
low back pains	279039007
night muscle cramps	55300003
belly weight gain	262286000
leg cramps	449918009
hair has started falling out	278040002
charley horses in legs	54981004
diarhea	62315008
loss of range of motion	70733008
aggitated	24199005
left heel pain	2733002
stomach pains	271681002
bad cramps	45352006
pulse is still extremely high	86651002
had no energy	248274002
restless legs	32914008
developed sore legs	10601006
cramping in wrists & hands	250082003
persistent pain in knee	30989003
loss of muscle mass in arms	88092000
uterine cramping	29542008
cramping	55300003
insomia	193462001
stiffness in leg joint	225609009
pain in both upper legs	78514002
diarea	62315008
red spots all over my body	271807003
horrible fatigue	84229001
fogginess	419723007
severe gas	267052005
hurts to go up stairs	425423002
bleeding constantly	131148009
extreme pain	76948002
extreme fatigue	13791008
difficulty to walk	228158008
extremely sick	213257006
off balanced-ness	387603000
arm muscles melting	88092000
tingling on left side of face	62507009
pain in every tendon in my body	21545007
sick at stomach	162059005
muscle weakness in plantar muscle	309774006
muscular aches and pains	68962001
muscle aches in elbows	288228002
general weak feeling overall	162076009
poor sleep	301345002
vertigo like episodes	399153001
muscle weakness in mouth area	26544005
massive triangular rash on my forehead	271807003
