numbing of my feet	309538000
tightness in my throat	247323005
pain in my hands	53057004
blood in my stools	405729008
feel achy	47933007
back spasms	203095000
cramping in toes	102551008
burning sensations in calves	90673000
movement is restricted and it is impossible to make a fist	70733008
hobbling around	16973004
exhaustion	60119000
charley horses in legs	54981004
muscles quivering	60238002
legs are killing me	10601006
couldn't walk	228158008
went down stamina	248277009
hands are somewhat numb	309521004
burning	90673000
weakness in muscles	26544005
right heel pain	2733002
pain really bad	76948002
finger stiffness	271587009
went down muscles	26544005
charley horses in breasts	54981004
pain in my thighs	78514002
muscle pain in left elbow	74323005
muscle cramps in ribs	203095000
hard to sleep	301345002
elbows sore	74323005
muscles feel like a wet dish rag	26544005
pains in legs	10601006
numbness in left toe	309539008
terrible pain in my ankles	247373008
can hardly walk	228158008
tightness in legs	250069006
painful heels	2733002
serious pain	76948002
fingertips scaly	16386004
soreness in upper back	279038004
sore legs	10601006
pain in both quads (above knee, back of leg)	78514002
plantar fasciitis of my left foot	202882003
more tiered	224960004
charley horses in abdomen	54981004
pain in the legs	10601006
heavy aching legs	161873000
extreme forgetfulness	55533009
drive is knocked down	277521002
laziness	277521002
sleep loss	301345002
loss of libido	8357008
burning ankles	90673000
achy legs	10601006
excruciating pain	67849003
elbow painful	74323005
debillitating leg pain	10601006
stomich ake	271681002
always exhausted	60119000
legs twitching	60238002
back pain upper	279038004
could hardly move	8510008
hands sore	53057004
very shaky	26079004
decrease in sexual desire	8357008
pain on the sole of my feet	47933007
comfortably couldn't walk	228158008
unable to focus	60032008
charley horse in my side	54981004
plantar fasciatis	202882003
tired all the time	224960004
elbows burning	90673000
pain in their toes	285365001
confusion	40917007
restless leg syndrome	32914008
loss of muscel strength	26544005
toes became so painful	285365001
stomack pains	271681002
charley horses in shoulders	54981004
numbness and tingling in my hands	309521004
heel pain	2733002
legs ache	10601006
hips hurt	49218002
knees seized up	249913002
muscle weakness causing nerve damage and imbalance	26544005
barely walk	228158008
facial swelling	278528006
joint pain in my hips	49218002
swelling face	278528006
pain around the hipjoints	49218002
heart attach	22298006
loss of strength	26544005
severe back spasm	203095000
hand being asleep	309086004
it's a chore to just walk around	228158008
feet pains	47933007
could not sleep well	301345002
left foot started hurting	47933007
muscles weak	26544005
sleep is not very sound	301345002
tummy pains	271681002
pain in elbows	74323005
ache was extreme, almost unbearable	76948002
heels hurt	2733002
cramps in my fingers	250082003
drained and tired	224960004
restless legs	32914008
ball of my left foot was so painful	47933007
hand numbness	309521004
severe numbness in hand	309521004
body stiffed during sleep	271587009
difficulty to walk	228158008
could barely walk across the room	228158008
loss of concentration levels	60032008
severe back spasms	203095000
legs painful to the touch	10601006
doesnt sleep very well at night	301345002
not motivated to do anything	277521002
extreme moodiness	286641001
bearly walk	228158008
joint pain in the hips	49218002
super dry skin	16386004
stiffness in both knees	249913002
numbness in my hands	309521004
stiff quad area	225609009
memory confusion	40917007
pain was too severe	76948002
burning sensations in legs	90673000
could not even walk in the morning	228158008
bottoms of feet hurt	47933007
tight throat	247323005
ache and discomfort in my legs	10601006
gut wrenching pain	76948002
stomach upset	162059005
aching in hips	49218002
left leg, below the knee, experienced stiffness	225609009
lack of enthusiasm	277521002
legs were hurting too much	10601006
pain in every tendon in my body	21545007
my legs became lead	161873000
difficulty concentratiing	26329005
aches in hip joint	49218002
heart-attack	22298006
stiff	271587009
muscle weakness in back	26544005
heart attack	22298006
thinking problems	26329005
trouble concentrating	26329005
inability to sleep well	301345002
severe stomach cramping	51197009
elbows would burn like fire	90673000
joint pain in hips	49218002
losing strength	26544005
muscles had become weak and stressed	26544005
severe neuropathy	386033004
pains in his legs	10601006
pain in stomach	271681002
felt like i had lead in my legs	161873000
ankles ache so bad	247373008
no concentration	60032008
cramping in calves	250084002
toes painful	285365001
loss of sex drive	8357008
difficult for me to walk	228158008
pain in their shins	10601006
