phrase	snomed_id	similarity
ca n't breathe	224960004	0.2314648
bad stomach ache	224960004	0.31405476
entire stomach	224960004	0.18720885
stomach bile	224960004	0.20797797
's appendicitis	224960004	0.11889659
10minutes sleep	224960004	0.47507274
fluid drip	224960004	0.21623015
cannula drip 's	224960004	0.12706168
mums car	224960004	0.13467069
difficult surgery	224960004	0.18667462
nurse 's	224960004	0.07785312
normal rash	224960004	0.29176083
white blotches amongst	224960004	0.22735158
comdy leather sofa	224960004	0.07498179
big screen tv	224960004	0.15970798
rheumatic fever	224960004	0.22926575
rheumatic fever	60119000	0.38681602
heart surgery	224960004	0.21884799
heart surgery	60119000	0.25235355
constrictive peri-carditis	224960004	0.03965817
constrictive peri-carditis	60119000	0.2064306
bisoprolol	224960004	0.31949174
bisoprolol	60119000	0.36616805
normal ’ things	224960004	0.30416217
normal ’ things	60119000	0.20690696
red eye lids	90673000	0.184448
scratchy sensation	90673000	0.6231817
eye lid scrub 4x day	90673000	0.08553241
baby shampoo	90673000	0.17668028
tea tree oil drops	90673000	0.13174151
shampoo 2x day	90673000	0.05171186
eye lids	90673000	0.14343557
nose eyebrows	90673000	0.17932095
mother-in-law sounds	224960004	0.13068289
viseo magnifyer	224960004	0.1210189
video manifyer	224960004	0.15495996
lips etc	262286000	0.21460843
water retention	262286000	0.4059092
water pills	262286000	0.2332109
chinese food	262286000	0.19106326
mulucs tablets	262286000	0.17201409
weight gain	262286000	0.737993
extreme fatigue	262286000	0.26119733
week 's	262286000	0.05965979
sweet potatoes	262286000	0.19118768
candida	262286000	0.11186734
leaky gut	262286000	0.27812755
food allergys	262286000	0.23645012
clean gut	262286000	0.22486699
day diet	262286000	0.22161506
gut diet	262286000	0.30399895
day juice cleans	262286000	0.10749292
blood tests	271587009	0.19885516
ca n't	271587009	0.06857526
pred	271587009	0.29209828
pmr	271587009	0.3598236
neck shoulders	271587009	0.3833356
proper flare	271587009	0.19327462
rheumatoligists	271587009	0.26593715
month method	271587009	0.07579418
blood pressure	271587009	0.2722503
muscle tension	250069006	0.99999994
odd joint pains	90673000	0.38561007
neck pain	90673000	0.34646848
zero symptoms	90673000	0.2820623
zoloft	224960004	0.15882611
sertraline	224960004	0.17030966
'm dizzy	224960004	0.36537087
birth control	60119000	0.19897372
ocd	60119000	0.2234732
intense anxiety	60238002	0.38675907
doctors appoinments	60238002	0.24862558
muscle twitching/spasms	60238002	0.6831074
heart palpitations	22298006	0.44343412
negative thoughts	224960004	0.27588856
upper chest	224960004	0.25034413
whole lungs	224960004	0.25020814
chest infection	224960004	0.33486027
nasty virus	224960004	0.27070582
smokers cough	224960004	0.19033411
n't talk	224960004	0.10472276
bronchiectasis	224960004	0.2250669
ventoliin	224960004	0.33186978
mucodyne	224960004	0.2160411
chrons disease	224960004	0.02937754
ibs	224960004	0.10638386
n't ate	224960004	0.20217884
abdominal pain	224960004	0.22018291
ibs	224960004	0.10638386
ca n't	224960004	0.07919715
