phrase	snomed_id	similarity
ca n't breathe	79823003	0.28578505
ca n't breathe	224960004	0.2314648
bad stomach ache	224960004	0.31405476
entire stomach	224960004	0.18720885
stomach bile	224960004	0.20797797
's appendicitis	224960004	0.11889659
10minutes sleep	224960004	0.47507274
fluid drip	224960004	0.21623015
cannula drip 's	224960004	0.12706168
mums car	224960004	0.13467069
difficult surgery	224960004	0.18667462
nurse 's	224960004	0.07785312
normal rash	224960004	0.29176083
white blotches amongst	224960004	0.22735158
comdy leather sofa	224960004	0.07498179
big screen tv	224960004	0.15970798
rheumatic fever	224960004	0.22926575
rheumatic fever	60119000	0.38681602
heart surgery	224960004	0.21884799
heart surgery	60119000	0.25235355
constrictive peri-carditis	224960004	0.03965817
constrictive peri-carditis	60119000	0.2064306
bisoprolol	224960004	0.31949174
bisoprolol	60119000	0.36616805
normal ’ things	224960004	0.30416217
normal ’ things	60119000	0.20690696
fluoxetine	42984000	0.20438686
old symptoms	42984000	0.30818522
20mg / day	42984000	0.2873016
morning anxiety	42984000	0.43643916
ca n't	42984000	0.01243175
extreme anxiety	42984000	0.32873362
stable dose	42984000	0.1779182
night sweats 😥😴	42984000	0.95374256
mother-in-law sounds	224960004	0.13068289
viseo magnifyer	224960004	0.1210189
video manifyer	224960004	0.15495996
carpal	238131007	0.21064076
tunnel release surgery	238131007	0.08194588
nerve	238131007	0.23141721
nerve sensation	238131007	0.16213292
median nerve	238131007	0.2264854
motor nerve	238131007	0.22783786
permanent damage	238131007	0.34102964
revision surgery	238131007	0.1867641
local anaesthetic	238131007	0.13679716
high risk	238131007	0.2564847
massage [ therapist	203082005	0.33833277
year neuro	203082005	0.28708506
muscular massage therapist ]	203082005	0.37735128
% pain relief	203082005	0.4643901
pmr	203082005	0.25977865
weeks prednisone	203082005	0.27574682
massage therapist	203082005	0.33833277
pmr	203082005	0.25977865
osteo	203082005	0.4252196
rheumatoid arthritis	203082005	0.6389277
myofascial pain syndrome	203082005	0.60538816
massage etc	203082005	0.22996002
back muscles	203082005	0.20378245
pmr	203082005	0.25977865
chronic autoimmune inflammatory disorder	203082005	0.604401
manual treatment	203082005	0.23008353
pmr	203082005	0.25977865
myofascial pain syndrome	203082005	0.60538816
pmr	203082005	0.25977865
ibs	79823003	0.23264222
inflamation sounds	79823003	0.14944884
e.g colpermin	79823003	0.04025312
food diary	79823003	0.18883783
gp	79823003	0.19528289
breeds stress.. good luck	79823003	0.09007286
n't panic	79823003	0.7605604
ssri	405273008	0.38033688
snri	405273008	0.22080193
manic episode	405273008	0.7119435
high dose citalopram	405273008	0.3604759
prn haloperidol	405273008	0.11231765
side room seclusion	405273008	0.1784971
heart rate shot	79823003	0.25941598
heart rate	79823003	0.3055908
's anxiety	79823003	0.3582835
ca n't	79823003	0.147845
's anxiety	79823003	0.3582835
ca n't	79823003	0.147845
zoloft	79823003	0.34907854
zoloft	224960004	0.15882611
sertraline	79823003	0.33424172
sertraline	224960004	0.17030966
'm dizzy	79823003	0.25816864
'm dizzy	224960004	0.36537087
wonderful anxiety	419145002	0.32728216
panic attacks	419145002	0.42070097
birth control	60119000	0.19897372
ocd	60119000	0.2234732
ocd	79823003	0.25153154
intense anxiety	60238002	0.38675907
doctors appoinments	60238002	0.24862558
muscle twitching/spasms	60238002	0.6831074
anxiety tablet	34951003	0.2625176
typical anxiety/ocd form	34951003	0.20296767
addictive qualities	34951003	0.22431742
birth control	419145002	0.20583302
progesterone cream	419145002	0.15260708
birth control	419145002	0.20583302
negative thoughts	224960004	0.27588856
gp	419145002	0.17247966
hypnotherapy	419145002	0.32767385
reki	419145002	0.18197678
upper chest	224960004	0.25034413
whole lungs	224960004	0.25020814
chest infection	224960004	0.33486027
nasty virus	224960004	0.27070582
smokers cough	224960004	0.19033411
n't talk	224960004	0.10472276
bronchiectasis	224960004	0.2250669
ventoliin	224960004	0.33186978
mucodyne	224960004	0.2160411
're feeling suicidal	267073005	0.8060943
feeling 'suicidal	267073005	0.84046763
chrons disease	224960004	0.02937754
ibs	224960004	0.10638386
n't ate	224960004	0.20217884
abdominal pain	224960004	0.22018291
ibs	224960004	0.10638386
ca n't	224960004	0.07919715
chest discomfort	42984000	0.32601973
excessive energy	247779009	1.0000001
fatigue 2years	60119000	0.599519
gp afterwards	60119000	0.23711765
bloods n visits i	60119000	0.20429033
awful headaches	60119000	0.28086275
brain fog	60119000	0.39136901
cfs aswell hope	60119000	0.16805333
street temazepam	32914008	0.33257923
withdrawal symptoms	32914008	0.33172625
restless leg syndrome	32914008	0.803644
's unreal	79823003	0.12869935
ca n't	79823003	0.147845
meds	79823003	0.34484407
panic ect attacks	79823003	0.74377996
meds	79823003	0.34484407
ct scan	79823003	0.21682641
muscle tension	60238002	0.63164425
blood sugar	224960004	0.3230742
hid cholesterol	224960004	0.17919128
blood sug	224960004	0.35074028
lis legs	224960004	0.20745388
update ... .on 10mg	224960004	0.13221298
left arm	224960004	0.2636783
anxiety/panic feeling	79823003	0.4235444
vicious circle	79823003	0.09960939
