Adrenergic syndrome	45536007
Hearing Loss, Partial	343087000
Typhoid Fever	4834000
Pregnancy	289908002
Apnea	248583008
Hormone-refractory prostate cancer	427492003
Cushingoid facies	67967009
Nephrotic Syndrome	52254009
Electrocardiogram PR prolongation	164947007
Xerostomia	300268000
Middle insomnia	67233009
Expressive language disorder	229733002
Tachypnea	271823003
Hyposthenuria	76023003
Human herpesvirus 6 infection	442177008
Urinary Retention	449491000124101
Chemosis	8148005
Pathological Dilatation	25322007
Macular retinal edema	37231002
Nuchal Rigidity	405947006
Pounding heart	248657009
Neoplasms	108369006
Alopecia	278040002
Bradycardia	48867003
Posterior rhinorrhea	75803007
Hypogeusia	697990000
Common Cold	82272006
Tendon disorder	68172002
Tendon rupture	415749005
Cerebrovascular accident	230690007
Stridor	70407001
Restless Legs Syndrome	32914008
Periorbital oedema	49563000
Persistent Fetal Circulation Syndrome	233815004
Ulna Fractures	54556006
Peripheral motor neuropathy	95663000
Chronic Lymphocytic Leukemia	92814006
Growth retardation	59576002
Hair discoloration	59571007
Diabetes Mellitus	73211009
Bronchitis	32398004
Fibromyalgia	24693007
Ejaculation failure	42288005
Salivary gland enlargement	45338009
Painful erection	8034008
Hypertrophy	56246009
Disorientation	62476001
Psychiatric symptom	75864003
Anhidrosis	14662005
Myoglobinuria	48165008
General unsteadiness	271713000
Non-gonococcal urethritis (NGU)	84619001
Cystitis haemorrhagic	87696004
Coronary Artery Disease	414024009
Choking sensation	373909009
Weepiness	271951008
Paresthesia	91019004
Dependence psychological	85758008
Somnambulism	80495009
Fasciitis, Plantar	202882003
Excitement emotion	58901008
Liver Cirrhosis	19943007
Liver diseases	235856003
Illness (finding)	39104002
Paraplegia	60389000
Trichinellosis	709018004
Hair texture abnormal	5149003
Panic	79823003
Panic Disorder	371631005
Pancytopenia	127034005
Delirium	419567006
Incontinence	48340000
Derealization	40806005
Infectious disorder of bronchus	233795005
Macular Edema, Cystoid	193387007
Abdomen, Acute	9209005
Feeling drunk	102897001
Lymphocytosis	67023009
Respiratory rate decreased	86684002
Bulla	339008
Organ failure	251526004
Hepatitis	128241005
Hepatic Veno-Occlusive Disease	65617004
Vaginal itching	34363003
Tuberculosis	371569005
Angina Pectoris	225566008
Neck Injuries	90460009
Angina, Unstable	25106000
Prostatic Diseases	30281009
Bronchitis viral	16146001
Common wart	57019003
Night Terrors	89675003
Glossopharyngeal Neuralgia	43763009
Increased bilirubin level (finding)	166612004
Night cramps	102549009
Corneal Opacity	413921009
Ketogenic Diet	765060000
Fever	50177009
Adenocarcinoma	443961001
Renal pain	274279008
Abnormal sensation in eye	737270004
Churg-Strauss Syndrome	82275008
Pruritus	279333002
Lichenoid Eruptions	12873001
Sickle Cell Dactylitis	371104006
Prurigo	64144002
Urticaria	64305001
Pruritus Vulvae	67882000
Cardiac Arrhythmia	698247007
Bone cancer metastatic	94222008
Death (finding)	397709008
Hemiplegia	50582007
Gangrene	372070002
Aortic Aneurysm	67362008
Taste, Metallic	11193009
Tietze's Syndrome	64109004
Application site rash	95371007
Application site irritation	95366000
Application site pain	95367009
Tissue Adhesions	42685002
Prostate carcinoma	254900004
Hepatocellular Adenoma	424263008
Radiation Pneumonitis	84004001
Lung Diseases, Interstitial	233703007
Pneumonia, Interstitial	64667001
Pleural effusion disorder	60046008
Ascites	389026000
Function kidney decreased	76114004
Conjunctival haemorrhage	21117005
Arachnoiditis	8217007
Fatigability	79915001
Dry throat	102618009
Communicable Diseases	40733004
Dizziness	404640003
Supraventricular arrhythmia	72654001
Cardiopulmonary Arrest	410430005
Respiratory Tract Infections	275498002
Abdominal bloating	248490000
Epigastric discomfort	119416008
Intracranial Hypertension	271719001
Kidney function abnormal	39539005
Myocardial Ischemia	414545008
Duodenitis	72007001
Osteomalacia	4598005
Osteomyelitis	60168000
Bone necrosis	240196003
Apraxias	6950007
Bronchopneumonia	396285007
Cutaneous Candidiasis	49883006
Impaired healing	103681003
Hemorrhage of colon	95540002
Sensitisation	416167002
Black hairy tongue	81934005
Cellulitis	385627004
Catatonia	247917007
Bronchial Spasm	4386001
Stiffness	271587009
Tongue Diseases	69244009
Orchitis	274718005
Capillary fragility increased	56888007
Localized desquamation	51979000
Lichen Simplex Chronicus	123704008
Epilepsies, Partial	230381009
Trismus	87866006
Myopia	57190000
Vivid dreams	247953009
Excitability	102893002
Disk, Herniated	73589001
Pulmonary Infarction	64662007
Puerperal Disorders	362973001
Mask-like facies	103606006
Lower respiratory tract infection	50417007
Change of bowel habit	88111009
Phlebitis	61599003
Verbal repetition	25107009
Pustular rash	48055004
Obsessions	67698009
Sustained ventricular tachycardia	426525004
Orgasmic Disorder	82636008
Genital candidiasis	240706001
Hunger	55350005
Trembling	267079009
Perforation of nasal septum	80142000
Acute intermittent porphyria	234422006
Upper motor neurone lesion	299738004
Pancreatitis	75694006
Lung infection	128601007
Secondary Infections	264569006
Nephritis	52845002
Abdomen distended	60728008
Abdominal Pain	21522001
Essential Tremor	609558009
Bacteremia	5758002
QRS complex	164949005
Pharyngitis streptococcal	43878008
Schizoaffective Disorder	191567000
Tumour flare	425736001
WBC abnormal	134199001
Tenosynovitis	67801009
Upper Respiratory Infections	54150009
Osteophyte	235231000119100
Corneal ulcer marginal	47398006
Clammy skin	102598000
Corneal erosion	50792001
Extrapyramidal Disorders	76349003
Dizziness postural	407645004
Extravasation	76676007
Muscle Fatigue	80449002
Leukonychia	111202002
Sarcoidosis	31541009
Adams-Stokes Syndrome	271547004
Self-injurious ideation	102911000
Fear of death	102912007
